name,address,city,state,zip_code,latitude,longitude,rating,review_count,categories,price,phone,url
Tacos Bravo & catering,,Fremont,CA,94539,37.5148444,-121.9131761,4.8,145,"Mexican, Food Stands",N/A,(510) 358-5898,https://www.yelp.com/biz/tacos-bravo-and-catering-fremont?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
Afghan Awasana Kabob,37012 Towers Way,Fremont,CA,94536,37.550094,-122.019356,4.8,424,"Afghan, Halal, Kebab",$$,(510) 494-8043,https://www.yelp.com/biz/afghan-awasana-kabob-fremont-2?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
Taqueria Los Perrones,2499 Whipple Rd,Hayward,CA,94544,37.60780159999999,-122.0628637,5.0,4,"Tacos, Food Stands",N/A,(916) 664-9866,https://www.yelp.com/biz/taqueria-los-perrones-hayward-2?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
Mama’s Papas,3821 Smith St,Union City,CA,94587,37.59668914424769,-122.07747602336936,4.7,39,"Latin American, Pop-Up Restaurants, Comfort Food",N/A,,https://www.yelp.com/biz/mama-s-papas-union-city?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
Dynasty BBQ,5492 Central Ave,Newark,CA,94560,37.53791029911502,-122.017756134237,4.7,293,"Chinese, Barbeque",N/A,(510) 818-9928,https://www.yelp.com/biz/dynasty-bbq-newark-2?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
Chuan Xiang Spicy Cuisine,6092 Mowry Ave,Newark,CA,94560,37.523997,-122.008074,4.7,55,Chinese,N/A,(510) 998-0888,https://www.yelp.com/biz/chuan-xiang-spicy-cuisine-newark-2?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
Vande Bharat,127 Dixon Rd,Milpitas,CA,95035,37.45845633298493,-121.9098534,4.7,44,Indian,N/A,(408) 415-4463,https://www.yelp.com/biz/vande-bharat-milpitas?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
四姐 Special Noodle,6004 Stevenson Blvd,Fremont,CA,94538,37.5194706,-121.9890889,4.7,536,"Chinese, Noodles",$$,(408) 859-6709,https://www.yelp.com/biz/%E5%9B%9B%E5%A7%90-special-noodle-fremont?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
Happiness Hot Pot,37140 Fremont Blvd,Fremont,CA,94536,37.559561,-122.009079,4.7,153,Hot Pot,N/A,(510) 807-9130,https://www.yelp.com/biz/happiness-hot-pot-fremont?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
Kabob Fusion,41986 Fremont Blvd,Fremont,CA,94538,37.52442424361435,-121.95741284678108,4.7,245,"Mediterranean, Halal, Burgers",N/A,(510) 270-8337,https://www.yelp.com/biz/kabob-fusion-fremont?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
Little Seven Special Soup W Rice,46529 Mission Blvd,Fremont,CA,94539,37.492526,-121.928562,4.7,16,"Soup, Chinese, Desserts",$$,(510) 228-4477,https://www.yelp.com/biz/little-seven-special-soup-w-rice-fremont-3?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
Catrina Taco Truck,37270 Niles Blvd,Fremont,CA,94536,37.57781356209078,-121.9813397,4.7,22,"Tacos, Food Trucks",N/A,(510) 600-9811,https://www.yelp.com/biz/catrina-taco-truck-fremont?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
Amelia's Kitchen,4300 Decoto Rd,Fremont,CA,94555,37.5675011720388,-122.03471108568668,4.7,80,"Food Trucks, Mexican",$,(510) 690-7262,https://www.yelp.com/biz/amelias-kitchen-fremont-5?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
Cay Cafe,46551 Mission Blvd,Fremont,CA,94539,37.492068,-121.929532,4.7,71,"Vietnamese, Coffee & Tea, Sandwiches",N/A,(510) 771-9913,https://www.yelp.com/biz/cay-cafe-fremont-5?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
YSG Halal YeeShaans Grubb,4342 Thornton Ave,Fremont,CA,94536,37.55663,-122.014241,4.7,214,"Halal, Burgers",$$,(510) 605-9510,https://www.yelp.com/biz/ysg-halal-yeeshaans-grubb-fremont-2?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
Spicy Kitchen,35201 Newark Blvd,Newark,CA,94560,37.547846,-122.047286,4.7,35,Asian Fusion,N/A,(510) 894-1054,https://www.yelp.com/biz/spicy-kitchen-newark?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
Taquizas Michoacan,,Fremont,CA,94555,37.56622,-122.05116,4.6,11,"Caterers, Food Trucks, Tacos",N/A,(510) 557-8564,https://www.yelp.com/biz/taquizas-michoacan-fremont-2?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
Sri Balaji Tiffins,4918 Paseo Padre Pkwy,Fremont,CA,94555,37.56718,-122.05261,4.6,11,Indian,N/A,(510) 400-7550,https://www.yelp.com/biz/sri-balaji-tiffins-fremont?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
ZSX Szechuan Rice Noodle,6180 Jarvis Ave,Newark,CA,94560,37.54919816058271,-122.04978158586708,4.6,41,"Noodles, Soup, Hot Pot",$$,(510) 508-3319,https://www.yelp.com/biz/zsx-szechuan-rice-noodle-newark?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
MAD Creationz,,Union City,CA,94587,37.603139883111616,-122.01860966904448,4.6,19,"Food Delivery Services, Pop-Up Restaurants",N/A,(510) 200-8264,https://www.yelp.com/biz/mad-creationz-union-city?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
Always Cool BBQ,6004 Stevenson Blvd,Fremont,CA,94538,37.519447,-121.989208,4.6,266,"Bars, Barbeque",N/A,(510) 687-1222,https://www.yelp.com/biz/always-cool-bbq-fremont-2?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
East Bay Cafe Depot,37260 Fremont Blvd,Fremont,CA,94536,37.5587622,-122.0077498,4.6,278,"Coffee & Tea, Filipino, Breakfast & Brunch",$$,(510) 364-2324,https://www.yelp.com/biz/east-bay-cafe-depot-fremont?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
Old Street Chengpan Malatang,6080 Stevenson Blvd,Fremont,CA,94538,37.51832103845419,-121.9899259,4.6,113,"Szechuan, Hot Pot",$$,(510) 598-8315,https://www.yelp.com/biz/old-street-chengpan-malatang-fremont?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
Soo Ja Seolleongtang,6052 Stevenson Blvd,Fremont,CA,94538,37.517975,-121.989162,4.6,190,"Korean, Soup",$$,(510) 573-4329,https://www.yelp.com/biz/soo-ja-seolleongtang-fremont?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
RĀW Superfood Café - Milpitas,1679 N Milpitas Blvd,Milpitas,CA,95035,37.454781,-121.911651,4.6,1044,"Vegan, Acai Bowls, Cafes",$$,(408) 359-3706,https://www.yelp.com/biz/r%C4%81w-superfood-caf%C3%A9-milpitas-milpitas-2?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
Tacos Estrella,,Union City,CA,94587,37.58569,-122.01835,4.6,5,"Food Trucks, Tacos",$,(510) 399-8541,https://www.yelp.com/biz/tacos-estrella-union-city?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
Xifu Hotpot,43829 Boscell Rd,Fremont,CA,94538,37.50032726712242,-121.97312033946064,4.6,5,"Seafood, Chinese, Hot Pot",N/A,(510) 573-6417,https://www.yelp.com/biz/xifu-hotpot-fremont?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
El Rodeo,4949 Stevenson Blvd,Fremont,CA,94538,37.52987,-121.98314,4.6,241,"Tex-Mex, Mexican",$$,(510) 270-8008,https://www.yelp.com/biz/el-rodeo-fremont?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
Haleluya Ethiopian Gourmet,4144 Walnut Ave,Fremont,CA,94538,37.54393,-121.9831,4.6,296,Ethiopian,$$,(510) 270-8310,https://www.yelp.com/biz/haleluya-ethiopian-gourmet-fremont?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
Kong Sarang Tofu & BBQ,6180 Jarvis Ave,Newark,CA,94560,37.54901976802342,-122.0498912327813,4.6,186,"Korean, Barbeque, Noodles",$$,(510) 797-8911,https://www.yelp.com/biz/kong-sarang-tofu-and-bbq-newark-3?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
Lạc Coffee,39658 Cedar Blvd,Newark,CA,94560,37.52186977680953,-121.9974227,4.6,177,"Coffee & Tea, Vietnamese, Ice Cream & Frozen Yogurt",$,(510) 270-8380,https://www.yelp.com/biz/l%E1%BA%A1c-coffee-newark-4?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
Haidilao,43349 Boscell Rd,Fremont,CA,94538,37.503212,-121.976603,4.6,1124,"Hot Pot, Chinese, Pan Asian",$$$,(510) 631-0888,https://www.yelp.com/biz/haidilao-fremont-5?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
Playa Azul Restaurant,1680 Decoto Rd,Union City,CA,94587,37.58924,-122.018908,4.6,54,"Mexican, Seafood",$$,(510) 436-7930,https://www.yelp.com/biz/playa-azul-restaurant-union-city?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
YY Noodle,4039 Bay St,Fremont,CA,94538,37.5330408,-121.9600784,4.6,7,"Food Stands, Chinese",N/A,(408) 489-3628,https://www.yelp.com/biz/yy-noodle-fremont?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
Mirchi Meat & Deli,40900 Fremont Blvd,Fremont,CA,94538,37.53419,-121.960893,4.6,191,"Delis, Butcher, Sandwiches",$$,(510) 624-9136,https://www.yelp.com/biz/mirchi-meat-and-deli-fremont?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
Home Eat,46573 Mission Blvd,Fremont,CA,94539,37.492038,-121.929902,4.6,317,"Chinese, Hot Pot",$$,(510) 651-8989,https://www.yelp.com/biz/home-eat-fremont-4?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
Greens N Grills,31804 Alvarado Blvd,Union City,CA,94587,37.591646,-122.071326,4.6,310,"Mediterranean, Wraps, Halal",$$,(510) 431-3021,https://www.yelp.com/biz/greens-n-grills-union-city-5?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
Meet Rice Noodle,46260 Warm Springs Blvd,Fremont,CA,94539,37.492536,-121.929675,4.6,29,Restaurants,N/A,(510) 573-0322,https://www.yelp.com/biz/meet-rice-noodle-fremont?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
Tang’s Haus,34555 Alvarado Niles Rd,Union City,CA,94587,37.5864065,-122.02013523005944,4.6,272,Korean,$$,(510) 431-3205,https://www.yelp.com/biz/tang-s-haus-union-city?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
Mala Town,1737 Decoto Rd,Union City,CA,94587,37.589501,-122.022215,4.5,590,"Asian Fusion, Hot Pot, Ramen",$$,(510) 400-3242,https://www.yelp.com/biz/mala-town-union-city-2?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
Rice Junky,38487 Fremont Blvd,Fremont,CA,94536,37.551007,-121.99474,4.5,439,Korean,$$,(669) 900-3231,https://www.yelp.com/biz/rice-junky-fremont?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
Bear Bitez,5486 Central Ave,Newark,CA,94560,37.53791,-122.01763,4.5,670,"Burgers, Caterers, Sandwiches",$$,(510) 648-2721,https://www.yelp.com/biz/bear-bitez-newark?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
One Piece Lamian,34123 Fremont Blvd,Fremont,CA,94555,37.57603874268149,-122.04410914334032,4.5,320,"Chinese, Soup, Noodles",$$,(510) 648-2828,https://www.yelp.com/biz/one-piece-lamian-fremont?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
Hungry Cow,40470 Albrae St,Fremont,CA,94538,37.52062,-121.98815,4.5,783,"Korean, Barbeque",$$$,(510) 573-8200,https://www.yelp.com/biz/hungry-cow-fremont?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
Momo & Kebab,37100 Fremont Blvd,Fremont,CA,94536,37.56022054807729,-122.0102725025716,4.5,616,"Himalayan/Nepalese, Mediterranean, Kebab",$$,(510) 894-4317,https://www.yelp.com/biz/momo-and-kebab-fremont?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
Osumo Poke,39957 Mission Blvd,Fremont,CA,94539,37.556556763269434,-121.95265358650518,4.5,104,"Japanese, Poke, Beer Bar",$$,(510) 270-8363,https://www.yelp.com/biz/osumo-poke-fremont-6?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
Pho Ga 88,1719 Decoto Rd,Union City,CA,94587,37.58950551501099,-122.0219473,4.5,83,"Noodles, Chicken Shop, Vietnamese",$$,(510) 952-9569,https://www.yelp.com/biz/pho-ga-88-union-city?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
Five Grains Noodle House,34129 Fremont Blvd,Fremont,CA,94555,37.575531,-122.044637,4.5,85,"Noodles, Chinese, Asian Fusion",$$,(510) 371-0659,https://www.yelp.com/biz/five-grains-noodle-house-fremont?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
Pho & Bun,1810 Milmont Dr,Milpitas,CA,95035,37.45509,-121.916,4.5,294,"Vietnamese, Noodles, Soup",$$,(669) 226-5778,https://www.yelp.com/biz/pho-and-bun-milpitas-3?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
Hops & Beans Cafe,4000 Bay St,Fremont,CA,94538,37.532729,-121.959351,4.5,346,"Cafes, Coffee & Tea, Beer, Wine & Spirits",$,(510) 573-1058,https://www.yelp.com/biz/hops-and-beans-cafe-fremont-2?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
Seasoned,,Fremont,CA,94536,37.571321180904974,-121.98540167966068,4.5,6,"Food Trucks, Hot Dogs, Burgers",N/A,(925) 658-8582,https://www.yelp.com/biz/seasoned-fremont?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
Delicious indo-American cuisine ,3409 Capitol Ave,Fremont,CA,94538,37.55133954,-121.98387981,5.0,3,"Food Trucks, Breakfast & Brunch, American",N/A,(510) 899-2266,https://www.yelp.com/biz/delicious-indo-american-cuisine-fremont-2?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
California Soul Food,36976 Cherry St,Newark,CA,94560,37.53379,-122.0341,5.0,3,"Barbeque, Soul Food, Food Delivery Services",N/A,(408) 502-7411,https://www.yelp.com/biz/california-soul-food-newark-2?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
Benny Grill Express Donburi,5799 Mowry Ave,Newark,CA,94560,37.527053,-122.006499,5.0,3,"Japanese, Food Trucks",N/A,(510) 556-4293,https://www.yelp.com/biz/benny-grill-express-donburi-newark?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
iniWings - This isn't just iniWings!,44029 Osgood Rd,Fremont,CA,94539,37.51132300793624,-121.94093415749286,4.5,8,"Chicken Wings, Halal",N/A,(510) 556-2556,https://www.yelp.com/biz/iniwings-this-isnt-just-iniwings-fremont-6?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
Super Tamales,5301 Mowry Ave,Fremont,CA,94538,37.53335,-122.00133,5.0,3,"Mexican, Food Trucks",N/A,(408) 477-4072,https://www.yelp.com/biz/super-tamales-fremont?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
Taqueria Extra Truck #2,4050 Alder Ave,Fremont,CA,94536,37.56208379413674,-122.0160488748821,4.8,4,"Mexican, Food Trucks",N/A,(510) 320-4126,https://www.yelp.com/biz/taqueria-extra-truck-2-fremont-3?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
Hanson's Pastry,35201 Newark Blvd,Newark,CA,94560,37.547846,-122.047286,4.5,22,Dim Sum,N/A,(510) 894-3727,https://www.yelp.com/biz/hansons-pastry-newark?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
Julie’s Noodle,46164 Warm Springs Blvd,Fremont,CA,94539,37.49385947661408,-121.9298580139354,4.5,87,Noodles,$$,(510) 270-8169,https://www.yelp.com/biz/julie-s-noodle-fremont?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
